
Python 3.62018-01-17 19:46:42		Date Projection based on Funding: 	20000		
Python 2.72018-01-17 19:49:47		Funding Required to Reach: 	2-21-2018		
Python 3.62018-01-17 19:49:53		Funding Required to Reach: 	2-21-2018		Funding Required to Reach: 	2-21-2018		
Python 2.72018-01-17 19:53:17		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 19:53:27		Date Projection based on Funding: 	20000		
Python 2.72018-01-17 19:56:02		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 19:56:05		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 20:03:43		Date Projection based on Funding: 	20000		
Python 2.72018-01-17 20:03:47		Date Projection based on Funding: 	20000		
Python 2.72018-01-17 20:07:23		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 20:07:25		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 20:11:05		Date Projection based on Funding: 	20000		
Python 3.62018-01-17 20:13:40		Date Projection based on Funding: 	20000		
Python 3.6   2018-01-17 20:30:16		Date Projection based on Funding: 	20000		
Python 3.6   2018-01-17 20:40:49		Date Projection based on Funding: 	20000		
Python 2.7   2018-01-17 20:42:43		Date Projection based on Funding: 	20000		
Python 2.7   2018-01-17 20:42:49		Date Projection based on Funding: 	20000		
Python 2.7   2018-01-17 20:42:55		Funding Required to Reach: 	2-21-2018		
Python 2.7   2018-01-17 20:44:00		Funding Required to Reach: 	2-21-2018		
Python 2.7   2018-01-17 20:48:18		Funding Required to Reach: 	2-21-2018		
Python 2.7   2018-01-17 21:16:22		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-17 21:16:51		Funding Required to Reach: 	2-21-2018		
Python 2.7   2018-01-17 21:17:02		Funding Required to Reach: 	3-31-2018		
Python 2.7   2018-01-17 21:17:22		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-17 21:18:06		Funding Required to Reach: 	3-31-2018		
Python 2.7   2018-01-17 21:19:30		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-17 21:19:39		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-17 21:20:11		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-17 21:20:36		Funding Required to Reach: 	4-30-2018		
Python 2.7   2018-01-18 00:57:21		Financial Report Requested		
Python 2.7   2018-01-18 01:09:33		Financial Report Requested		
Python 2.7   2018-01-18 01:14:39		Financial Report Requested		
Python 2.7   2018-01-18 01:15:30		Financial Report Requested		
Python 2.7   2018-01-18 01:16:42		Financial Report Requested		
Python 2.7   2018-01-18 01:17:16		Financial Report Requested		
Python 2.7   2018-01-18 01:18:07		Financial Report Requested		
Python 2.7   2018-01-18 01:35:09		Financial Report Requested		
Python 2.7   2018-01-18 01:35:53		Financial Report Requested		
Python 2.7   2018-01-18 01:36:34		Financial Report Requested		
